source,target,context
"PCE Grade","درجة PCE",
"Production Batch","دفعة إنتاج",
"Quality Control Test","اختبار مراقبة الجودة",
"Customer Technical Request","طلب دعم فني للعميل",
"TriStar Manufacturing","تصنيع تراي ستار",
"TriStar Sales","مبيعات تراي ستار",
"TriStar HR","الموارد البشرية - تراي ستار",
"TriStar Reports","تقارير تراي ستار",
"Grade Code","رمز الدرجة",
"Grade Name (English)","اسم الدرجة (إنجليزي)",
"Grade Type","نوع الدرجة",
"High-Range Water Reducer","مخفض مياه عالي المدى",
"Mid-Range Water Reducer","مخفض مياه متوسط المدى",
"Slump Retainer","حافظ الانهيار",
"Hybrid","هجين",
"Early Strength Agent","عامل مقاومة مبكرة",
"Clay-Tolerant","متحمل للطين",
"Specialty","درجة متخصصة",
"Solid Content (%)","المحتوى الصلب (%)",
"Technical Specifications","المواصفات الفنية",
"Performance Properties","خصائص الأداء",
"Water Reduction (%)","تخفيض الماء (%)",
"Slump Retention (hours)","الاحتفاظ بالانهيار (ساعات)",
"Raw Materials","المواد الخام",
"Technical Data Sheet (TDS)","ورقة البيانات الفنية",
"Safety Data Sheet (MSDS)","ورقة بيانات السلامة",
"Production Date","تاريخ الإنتاج",
"Reactor / Tank ID","معرف المفاعل / الخزان",
"Shift","الوردية",
"Morning","الصباح",
"Afternoon","بعد الظهر",
"Night","الليل",
"Planned Qty (MT)","الكمية المخططة (طن)",
"Actual Qty (MT)","الكمية الفعلية (طن)",
"Batch Yield (%)","إنتاجية الدفعة (%)",
"Waste / Loss (MT)","الهدر / الخسارة (طن)",
"Raw Materials Consumed","المواد الخام المستهلكة",
"Quality Control","مراقبة الجودة",
"QC Status","حالة مراقبة الجودة",
"QC Test Reference","مرجع اختبار الجودة",
"Approved By","معتمد من",
"Finished Goods Warehouse","مستودع البضائع الجاهزة",
"Lot / Batch Number","رقم الدفعة",
"Expiry Date","تاريخ الانتهاء",
"In Production","قيد الإنتاج",
"QC Hold","قيد مراجعة الجودة",
"Approved","معتمد",
"Rejected","مرفوض",
"Shipped","مشحون",
"Pass","ناجح",
"Fail","فاشل",
"Conditional Pass","قبول مشروط",
"Pending","معلق",
"pH Measured","pH المقاس",
"Viscosity (mPa·s)","اللزوجة (mPa·s)",
"Density (g/cm³)","الكثافة (g/cm³)",
"Lab Report (PDF)","تقرير المختبر (PDF)",
"Customer","العميل",
"Contact Person","جهة الاتصال",
"Request Date","تاريخ الطلب",
"Project Name","اسم المشروع",
"Project Location","موقع المشروع",
"Concrete Grade (e.g. C40)","درجة الخرسانة (مثال: C40)",
"Cement Type","نوع الأسمنت",
"W/C Ratio","نسبة الماء/الأسمنت",
"Target Slump (mm)","الانهيار المستهدف (مم)",
"Recommended PCE Grade","درجة PCE الموصى بها",
"Recommended Dosage (% bwc)","الجرعة الموصى بها (% من وزن الإسمنت)",
"Expected Water Reduction (%)","تخفيض الماء المتوقع (%)",
"Expected Slump Retention (hrs)","الاحتفاظ بالانهيار المتوقع (ساعات)",
"Trial Mix Conducted","تم إجراء الخلطة التجريبية",
"Trial Mix Result","نتيجة الخلطة التجريبية",
"Final Recommendation / Mix Design Report","التوصية النهائية / تقرير تصميم الخلطة",
"Follow-up Date","تاريخ المتابعة",
"Internal Notes","ملاحظات داخلية",
"Open","مفتوح",
"In Progress","قيد التنفيذ",
"Recommendation Sent","تم إرسال التوصية",
"Closed - Won","مغلق - ناجح",
"Closed - Lost","مغلق - غير ناجح",
"Low","منخفض",
"Medium","متوسط",
"High","عالي",
"Urgent","عاجل",
"PCE Production Summary","ملخص إنتاج PCE",
"Batch Quality Report","تقرير جودة الدفعات",
"Month","الشهر",
"Batches","الدفعات",
"Planned (MT)","المخطط (طن)",
"Actual (MT)","الفعلي (طن)",
"Avg Yield (%)","متوسط الإنتاجية (%)",
"QC Pass","نجاح مراقبة الجودة",
"QC Pass Rate (%)","معدل نجاح مراقبة الجودة (%)",
"Total Production (MT)","إجمالي الإنتاج (طن)",
"Average Yield (%)","متوسط الإنتاجية (%)",
"Total Batches","إجمالي الدفعات",
"Monthly Production Volume by PCE Grade (MT)","حجم الإنتاج الشهري حسب درجة PCE (طن)",
"GOSI","التأمينات الاجتماعية",
"End of Service","مكافأة نهاية الخدمة",
"Overtime","وقت إضافي",
"VAT 15% (ضريبة القيمة المضافة)","ضريبة القيمة المضافة 15%",
"New Technical Request: {0}","طلب فني جديد: {0}",
"Attendance Reminder — {0}","تذكير بالحضور — {0}",
"Please mark your attendance for today.","يرجى تسجيل حضورك لهذا اليوم.",
"Active","نشط",
"Discontinued","متوقف",
"Under Development","قيد التطوير",
